ID аниме,Название на русском,Название на английском,Статус,Тип,Жанры,Количество эпизодов,Оценка пользователей,Год выхода,Возрастное ограничение
1,Ковбой Бибоп,Cowboy Bebop,Вышло,TV Сериал,Экшен;Фантастика;Удостоено наград;Взрослые персонажи;Космос,26,8.75,1998,18
5,Ковбой Бибоп: Достучаться до небес,Cowboy Bebop: Tengoku no Tobira,Вышло,Фильм,Экшен;Фантастика;Взрослые персонажи;Космос,1,8.38,2001,18
6,Триган,Trigun,Вышло,TV Сериал,Сёнен;Экшен;Приключения;Фантастика;Взрослые персонажи,26,8.22,1998,13
7,Робин — охотница на ведьм,Witch Hunter Robin,Вышло,TV Сериал,Экшен;Драма;Тайна;Сверхъестественное;Детектив,26,7.24,2002,13
8,Приключения короля Бита,Bouken Ou Beet,Вышло,TV Сериал,Сёнен;Экшен;Приключения;Фэнтези,52,6.93,2004,6
16,Мёд и клевер,Hachimitsu to Clover,Вышло,TV Сериал,Дзёсей;Комедия;Драма;Романтика;Взрослые персонажи;Любовный многоугольник;Изобразительное искусство,24,7.99,2005,13
17,Голодное сердце: Дикий бомбардир,Hungry Heart: Wild Striker,Вышло,TV Сериал,Сёнен;Комедия;Повседневность;Спорт;Командный спорт,52,7.54,2002,13
19,Монстр,Monster,Вышло,TV Сериал,Сэйнэн;Драма;Тайна;Триллер;Взрослые персонажи;Психологическое,74,8.88,2004,18
21,Ван-Пис,One Piece,Ещё выходит,TV Сериал,Сёнен;Экшен;Приключения;Фэнтези,1122,8.72,1999,13
22,Принц тенниса,Tennis no Oujisama,Вышло,TV Сериал,Сёнен;Спорт;Школа,178,7.85,2001,13
23,Состязание на ринге 1,Ring ni Kakero 1,Вышло,TV Сериал,Сёнен;Спорт;Спортивные единоборства,12,6.35,2004,6
24,Школьный переполох,School Rumble,Вышло,TV Сериал,Сёнен;Комедия;Романтика;Гэг-юмор;Любовный многоугольник;Школа,26,7.89,2004,13
25,Пустынная крыса,Sunabouzu,Вышло,TV Сериал,Сэйнэн;Экшен;Приключения;Комедия;Фантастика;Этти,24,7.37,2004,0
27,Кровь Триединства,Trinity Blood,Вышло,TV Сериал,Экшен;Фэнтези;Вампиры,24,7.29,2005,0
29,Дзипанг,Zipang,Вышло,TV Сериал,Сэйнэн;Экшен;Драма;Фантастика;Взрослые персонажи;Исторический;Военное;Путешествие во времени,26,7.49,2004,13
30,Евангелион нового поколения,Shinseiki Evangelion,Вышло,TV Сериал,Экшен;Авангард;Драма;Фантастика;Триллер;Удостоено наград;Меха;Психологическое,26,8.35,1995,13
31,Евангелион нового поколения: Смерть и перерождение,Shinseiki Evangelion Movie: Shi to Shinsei,Вышло,Фильм,Экшен;Драма;Фантастика;Триллер;Меха;Психологическое,1,7.48,1997,0
32,Евангелион нового поколения: Конец Евангелиона,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Вышло,Фильм,Экшен;Авангард;Драма;Фантастика;Триллер;Меха;Психологическое,1,8.55,1997,18
33,Берсерк,Kenpuu Denki Berserk,Вышло,TV Сериал,Сэйнэн;Экшен;Приключения;Драма;Фэнтези;Ужасы;Жестокость;Военное,25,8.59,1997,18
43,Призрак в доспехах,Koukaku Kidoutai,Вышло,Фильм,Сэйнэн;Экшен;Тайна;Фантастика;Триллер;Удостоено наград;Взрослые персонажи;Детектив;Меха;Психологическое,1,8.27,1995,18
46,Бродяга Кэнсин: Реквием патриотов,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Вышло,Фильм,Сёнен;Драма;Исторический;Самураи,1,7.55,1997,0
47,Акира,Akira,Вышло,Фильм,Сэйнэн;Экшен;Приключения;Ужасы;Фантастика;Сверхъестественное;Жестокость;Военное,1,8.16,1988,18
48,.хак//ЗНАК,.hack//Sign,Вышло,TV Сериал,Приключения;Фэнтези;Тайна;Видеоигры,26,6.94,2002,13
50,Моя богиня!,Aa! Megami-sama! (TV),Вышло,TV Сериал,Сэйнэн;Комедия;Романтика;Сверхъестественное,24,7.32,2005,13
53,"Темнее, чем индиго",Ai Yori Aoshi,Вышло,TV Сериал,Сэйнэн;Комедия;Драма;Романтика;Гарем,24,7.1,2002,13
54,Яблочное зёрнышко,Appleseed (Movie),Вышло,Фильм,Экшен;Фантастика;Меха;Военное,1,7.06,2004,0
55,Парень Арк,Arc the Lad,Вышло,TV Сериал,Экшен;Приключения;Фэнтези;Ужасы;Фантастика,26,6.49,1999,0
57,Бек,Beck,Вышло,TV Сериал,Сёнен;Комедия;Драма;Музыка,26,8.29,2004,0
58,Синяя порода,Blue Gender,Вышло,TV Сериал,Экшен;Приключения;Драма;Ужасы;Фантастика;Жестокость;Меха;Военное;Космос;Выживание,26,7.01,1999,18
59,Чобиты,Chobits,Вышло,TV Сериал,Сэйнэн;Комедия;Драма;Романтика;Фантастика;Этти,26,7.4,2002,13
60,Крестовый поход Хроно,Chrno Crusade,Вышло,TV Сериал,Сёнен;Экшен;Романтика;Сверхъестественное;Исторический;Мифология,24,7.61,2003,0
61,Код ангела,D.N.Angel,Вышло,TV Сериал,Сёдзё;Экшен;Комедия;Фэнтези;Романтика;Школа,26,7.16,2003,13
62,С начала. Часть I,D.C.: Da Capo,Вышло,TV Сериал,Драма;Романтика;Гарем,26,6.71,2003,13
63,ДиарС,DearS,Вышло,TV Сериал,Сёнен;Комедия;Романтика;Фантастика;Этти;Гарем,12,6.55,2004,18
64,Девы Розена,Rozen Maiden,Вышло,TV Сериал,Сэйнэн;Экшен;Комедия;Драма;Фэнтези,12,7.41,2004,13
66,Адзуманга Дайо,Azumanga Daiou The Animation,Вышло,TV Сериал,Комедия;CGDCT;Гэг-юмор;Школа,26,8.03,2002,13
67,Василиск,Basilisk: Kouga Ninpou Chou,Вышло,TV Сериал,Сэйнэн;Экшен;Драма;Романтика;Взрослые персонажи;Жестокость;Исторический;Боевые искусства;Самураи,24,7.54,2005,0
68,Чёрный кот,Black Cat,Вышло,TV Сериал,Сёнен;Экшен;Приключения;Фантастика;Супер сила,23,7.32,2005,13
71,Стальная тревога!,Full Metal Panic!,Вышло,TV Сериал,Экшен;Комедия;Фантастика;Меха;Военное,24,7.6,2002,0
72,Стальная тревога? Фумоффу,Full Metal Panic? Fumoffu,Вышло,TV Сериал,Экшен;Комедия;Гэг-юмор;Школа,12,8.02,2003,13
73,Стальная тревога! Новый рейд,Full Metal Panic! The Second Raid,Вышло,TV Сериал,Экшен;Меха;Военное,13,7.92,2005,0
74,Школа Элис,Gakuen Alice,Вышло,TV Сериал,Сёдзё;Комедия;Фэнтези;Любовный многоугольник;Школа;Супер сила,26,7.64,2004,0
75,Небесный Фафнир: Мёртвый агрессор,Soukyuu no Fafner: Dead Aggressor,Вышло,TV Сериал,Экшен;Драма;Фантастика;Меха;Военное,25,7.26,2004,13
76,Лиричная волшебница Наноха,Mahou Shoujo Lyrical Nanoha,Вышло,TV Сериал,Экшен;Комедия;Драма;Фэнтези;Махо-сёдзё,13,7.41,2004,13
77,Лиричная волшебница Наноха: Ас,Mahou Shoujo Lyrical Nanoha A's,Вышло,TV Сериал,Экшен;Комедия;Драма;Фэнтези;Махо-сёдзё,13,7.95,2005,13
79,Шафл!,Shuffle!,Вышло,TV Сериал,Комедия;Драма;Фэнтези;Романтика;Этти;Гарем;Школа,24,7.01,2005,18
83,Мобильный воин Гандам: Восьмой взвод МС — Отчёт Миллер,Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,Вышло,Фильм,Драма;Романтика;Фантастика;Меха;Военное,1,6.74,1998,13
85,Мобильный воин Гандам Зета,Kidou Senshi Zeta Gundam,Вышло,TV Сериал,Экшен;Драма;Романтика;Фантастика;Меха;Военное;Космос,50,7.88,1985,13
88,Мобильный воин Гандам Эф-91,Kidou Senshi Gundam F91,Вышло,Фильм,Экшен;Драма;Фантастика;Меха;Военное;Космос,1,6.6,1991,13
89,Мобильный воин Гандам Виктория,Kidou Senshi Victory Gundam,Вышло,TV Сериал,Экшен;Драма;Фантастика;Меха;Военное;Космос,51,6.71,1993,13
